Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «температура 38», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;7 786;0,0012;
07.03.2022;7 856;0,0012;
14.03.2022;8 513;0,0013;
21.03.2022;8 862;0,0014;
28.03.2022;8 854;0,0013;
04.04.2022;8 471;0,0013;
11.04.2022;8 206;0,0013;
18.04.2022;8 584;0,0014;
25.04.2022;8 518;0,0014;
02.05.2022;8 043;0,0015;
09.05.2022;10 341;0,0016;
16.05.2022;7 737;0,0012;
23.05.2022;8 568;0,0013;
30.05.2022;7 919;0,0013;
06.06.2022;7 162;0,0013;
13.06.2022;7 159;0,0012;
20.06.2022;6 956;0,0012;
27.06.2022;6 916;0,0012;
04.07.2022;6 976;0,0013;
11.07.2022;8 252;0,0015;
18.07.2022;8 905;0,0017;
25.07.2022;11 560;0,0023;
01.08.2022;14 259;0,0027;
08.08.2022;16 872;0,0030;
15.08.2022;17 577;0,0032;
22.08.2022;15 498;0,0029;
29.08.2022;13 093;0,0022;
05.09.2022;14 542;0,0022;
12.09.2022;15 805;0,0026;
19.09.2022;12 859;0,0020;
26.09.2022;10 647;0,0018;
03.10.2022;9 752;0,0016;
10.10.2022;8 866;0,0015;
17.10.2022;9 572;0,0015;
24.10.2022;9 895;0,0016;
31.10.2022;11 085;0,0018;
07.11.2022;13 941;0,0023;
14.11.2022;17 655;0,0028;
21.11.2022;22 216;0,0035;
28.11.2022;26 075;0,0042;
05.12.2022;26 278;0,0042;
12.12.2022;20 760;0,0034;
19.12.2022;16 578;0,0027;
26.12.2022;11 926;0,0024;
02.01.2023;10 589;0,0022;
09.01.2023;9 743;0,0017;
16.01.2023;10 771;0,0018;
23.01.2023;11 890;0,0020;
30.01.2023;11 868;0,0020;
06.02.2023;12 136;0,0020;
13.02.2023;11 670;0,0020;
20.02.2023;10 974;0,0020;
27.02.2023;10 333;0,0017;
06.03.2023;10 125;0,0018;
13.03.2023;10 316;0,0017;
20.03.2023;10 292;0,0017;
27.03.2023;9 205;0,0016;
03.04.2023;8 650;0,0016;
10.04.2023;8 473;0,0016;
17.04.2023;9 134;0,0017;
24.04.2023;7 923;0,0014;
01.05.2023;6 891;0,0013;
08.05.2023;7 008;0,0014;
15.05.2023;7 272;0,0013;
22.05.2023;6 687;0,0012;
29.05.2023;6 416;0,0012;
05.06.2023;6 087;0,0012;
12.06.2023;5 723;0,0012;
19.06.2023;5 648;0,0011;
26.06.2023;5 503;0,0011;
03.07.2023;5 318;0,0011;
10.07.2023;4 675;0,0010;
17.07.2023;4 889;0,0010;
24.07.2023;4 767;0,0010;
31.07.2023;5 357;0,0012;
07.08.2023;5 615;0,0012;
14.08.2023;5 825;0,0013;
21.08.2023;5 410;0,0012;
28.08.2023;5 497;0,0012;
04.09.2023;6 822;0,0014;
11.09.2023;8 001;0,0015;
18.09.2023;8 660;0,0016;
25.09.2023;7 398;0,0013;
02.10.2023;7 133;0,0013;
09.10.2023;7 215;0,0013;
16.10.2023;7 333;0,0013;
23.10.2023;7 786;0,0014;
30.10.2023;8 133;0,0015;
06.11.2023;9 132;0,0017;
13.11.2023;9 860;0,0018;
20.11.2023;12 134;0,0022;
27.11.2023;16 364;0,0029;
04.12.2023;21 735;0,0038;
11.12.2023;25 871;0,0047;
18.12.2023;21 544;0,0039;
25.12.2023;14 593;0,0029;
01.01.2024;10 412;0,0022;
08.01.2024;8 617;0,0015;
15.01.2024;8 421;0,0014;
22.01.2024;8 721;0,0014;
29.01.2024;8 639;0,0015;
05.02.2024;8 270;0,0015;
12.02.2024;7 756;0,0014;
19.02.2024;7 112;0,0014;
26.02.2024;7 747;0,0013;
04.03.2024;7 181;0,0012;
11.03.2024;7 202;0,0013;
18.03.2024;6 894;0,0013;
25.03.2024;6 904;0,0013;
01.04.2024;6 734;0,0013;
08.04.2024;6 307;0,0012;
15.04.2024;6 021;0,0011;
22.04.2024;6 501;0,0012;
29.04.2024;5 556;0,0012;
06.05.2024;5 401;0,0011;
13.05.2024;5 738;0,0011;
20.05.2024;5 554;0,0011;
27.05.2024;5 607;0,0011;
03.06.2024;5 400;0,0011;
10.06.2024;4 801;0,0010;
17.06.2024;4 582;0,0010;
24.06.2024;4 818;0,0011;
01.07.2024;4 981;0,0011;
08.07.2024;4 816;0,0011;
15.07.2024;5 078;0,0012;
22.07.2024;5 026;0,0012;
29.07.2024;5 050;0,0012;
05.08.2024;5 146;0,0012;
12.08.2024;5 068;0,0012;
19.08.2024;5 582;0,0013;
26.08.2024;5 927;0,0013;
02.09.2024;5 509;0,0012;
09.09.2024;6 415;0,0013;
16.09.2024;6 449;0,0013;
23.09.2024;6 377;0,0012;
30.09.2024;6 169;0,0012;
07.10.2024;6 260;0,0012;
14.10.2024;5 791;0,0012;
21.10.2024;6 896;0,0013;
28.10.2024;6 453;0,0012;
04.11.2024;6 519;0,0012;
11.11.2024;6 835;0,0012;
18.11.2024;6 296;0,0011;
25.11.2024;7 145;0,0012;
02.12.2024;7 127;0,0012;
09.12.2024;7 749;0,0014;
16.12.2024;8 841;0,0015;
23.12.2024;8 833;0,0016;
30.12.2024;7 423;0,0018;
06.01.2025;6 851;0,0013;
13.01.2025;6 842;0,0012;
20.01.2025;7 906;0,0013;
27.01.2025;8 589;0,0014;
03.02.2025;9 229;0,0016;
10.02.2025;10 700;0,0018;
17.02.2025;12 251;0,0022;
24.02.2025;13 428;0,0024;
03.03.2025;14 456;0,0026;
10.03.2025;14 137;0,0025;
17.03.2025;11 101;0,0020;
24.03.2025;10 412;0,0019;
31.03.2025;9 284;0,0017;
