date,cases_day,deaths_day,recovered_day,active_now,active_delta,total_cases,total_deaths,recovered_total,period_days
2024-05-14,1243.0,1.0,1461.0,136645,-219.0,3753664,49744,3567275,7.0
2024-05-21,1915.0,6.0,1277.0,137277,632.0,3755579,49750,3568552,7.0
2024-05-28,2224.0,9.0,1932.0,137560,283.0,3757803,49759,3570484,7.0
2024-06-04,2222.0,1.0,2208.0,137573,13.0,3760025,49760,3572692,7.0
2024-06-11,1811.0,9.0,2127.0,137248,-325.0,3761836,49769,3574819,7.0
2024-06-18,1294.0,9.0,1719.0,136814,-434.0,3763130,49778,3576538,7.0
2024-06-25,1299.0,6.0,1278.0,136829,15.0,3764429,49784,3577816,7.0
2024-07-02,1394.0,2.0,1276.0,136945,116.0,3765823,49786,3579092,7.0
2024-07-09,1534.0,6.0,1442.0,137031,86.0,3767357,49792,3580534,7.0
2024-07-16,1425.0,7.0,1441.0,137008,-23.0,3768782,49799,3581975,7.0
2024-07-23,1506.0,7.0,1445.0,137062,54.0,3770288,49806,3583420,7.0
2024-07-30,1803.0,6.0,1407.0,137452,390.0,3772091,49812,3584827,7.0
2024-08-06,2524.0,0.0,1884.0,138092,640.0,3774615,49812,3586711,7.0
2024-08-13,3227.0,4.0,2534.0,138781,689.0,3777842,49816,3589245,7.0
2024-08-20,3940.0,2.0,3385.0,139334,553.0,3781782,49818,3592630,7.0
2024-08-27,4828.0,2.0,3868.0,140292,958.0,3786610,49820,3596498,7.0
2024-09-03,5050.0,7.0,4788.0,140547,255.0,3791660,49827,3601286,7.0
2024-09-10,5769.0,8.0,5057.0,141251,704.0,3797429,49835,3606343,7.0
2024-09-17,7196.0,8.0,5737.0,142702,1451.0,3804625,49843,3612080,7.0
2024-09-24,6736.0,6.0,7175.0,142257,-445.0,3811361,49849,3619255,7.0
2024-10-01,5992.0,11.0,6699.0,141539,-718.0,3817353,49860,3625954,7.0
2024-10-08,5079.0,8.0,5952.0,140658,-881.0,3822432,49868,3631906,7.0
2024-10-15,4131.0,12.0,5059.0,139718,-940.0,3826563,49880,3636965,7.0
2024-10-22,3788.0,12.0,4058.0,139436,-282.0,3830351,49892,3641023,7.0
2024-10-29,4249.0,13.0,3770.0,139902,466.0,3834600,49905,3644793,7.0
2024-11-05,4088.0,14.0,4325.0,139651,-251.0,3838688,49919,3649118,7.0
2024-11-12,3805.0,5.0,4209.0,139242,-409.0,3842493,49924,3653327,7.0
2024-11-19,4316.0,12.0,3701.0,139845,603.0,3846809,49936,3657028,7.0
2024-11-26,4959.0,11.0,4305.0,140488,643.0,3851768,49947,3661333,7.0
2024-12-03,4809.0,11.0,4893.0,140393,-95.0,3856577,49958,3666226,7.0
2024-12-10,5208.0,7.0,4977.0,140617,224.0,3861785,49965,3671203,7.0
2024-12-17,4930.0,13.0,5193.0,140341,-276.0,3866715,49978,3676396,7.0
2024-12-24,3958.0,16.0,4843.0,139440,-901.0,3870673,49994,3681239,7.0
2024-12-31,2994.0,16.0,4096.0,138322,-1118.0,3873667,50010,3685335,7.0
2025-01-07,1362.0,17.0,2762.0,136905,-1417.0,3875029,50027,3688097,7.0
2025-01-14,1494.0,14.0,1224.0,137161,256.0,3876523,50041,3689321,7.0
2025-01-21,1280.0,7.0,1559.0,136875,-286.0,3877803,50048,3690880,7.0
2025-01-28,1241.0,0.0,1401.0,136715,-160.0,3879044,50048,3692281,7.0
2025-02-04,1212.0,2.0,1240.0,136685,-30.0,3880256,50050,3693521,7.0
2025-02-11,1036.0,4.0,1210.0,136507,-178.0,3881292,50054,3694731,7.0
2025-02-18,939.0,1.0,937.0,136508,1.0,3882231,50055,3695668,7.0
2025-02-25,996.0,1.0,1020.0,136483,-25.0,3883227,50056,3696688,7.0
2025-03-04,903.0,2.0,957.0,136427,-56.0,3884130,50058,3697645,7.0
2025-03-11,864.0,5.0,885.0,136401,-26.0,3884994,50063,3698530,7.0
2025-03-18,725.0,4.0,816.0,136306,-95.0,3885719,50067,3699346,7.0
