feature_name,importance
cases_growth_1w,27.685465601817615
cases_log1p,8.587053158388677
cases_growth_2w,8.197286352396382
cases,6.5654064551065945
ws_пропало_обоняние_diff_1w,6.287389547537458
active_now,5.377925743164165
ws_ковид_growth_1w,4.962932727784819
ws_положительный_тест_ковид_growth_1w,3.137651656171783
cases_lag_2,2.628700931535554
cases_lag_3,2.2920161369162275
ws_кт_легких_growth_1w,2.052402640401654
cases_lag_1,1.869348392288452
cases_roll_mean_4,1.6685391761741608
ws_боль_в_горле_growth_1w,1.5734112473593074
ws_экспресс_тест_ковид_growth_1w,1.547419771892088
cases_roll_mean_2,1.3839407401736021
weekofyear_cos,1.3722614603436312
ws_group_total_growth_1w,1.367441718896733
ws_total_spike_ratio_shock_ratio,1.2688533772027073
ws_total_raw_growth_1w,1.1782334271287787
ws_total_spike_ratio_growth_1w,1.0838781183522166
ws_тест_на_ковид_growth_1w,1.0528802104110195
ws_total_denoised_growth_1w,0.9647622948794419
weekofyear_sin,0.9242582388949517
ws_total_spike_ratio_growth_2w,0.7300782450130163
ws_total_spike_ratio_zscore_8,0.6914582603629875
ws_сатурация_growth_1w,0.6857767509845953
ws_group_disease_growth_1w,0.6095312474687257
ws_пропало_обоняние_growth_1w_lagbest_h1,0.47832572102236287
ws_пропало_обоняние_growth_1w_lagbest_h2,0.3443982490883849
ws_пропало_обоняние_growth_2w_lagbest_h1,0.22887370459138703
ws_пропало_обоняние_growth_2w_lagbest_h2,0.21262336981901347
ws_group_testing_growth_1w,0.18099089677039953
ws_пропало_обоняние_growth_1w_lagbest_h3,0.17122066950466486
ws_пропало_обоняние_growth_2w_lagbest_h3,0.14214166759805372
ws_total_spike_flags_zscore_8,0.12012838815117423
ws_total_spike_flags_zscore_8_lagbest_h2,0.118017338636529
ws_пропало_обоняние_diff_2w_lagbest_h3,0.11693728821958174
ws_total_spike_flags_shock_ratio,0.05319520154478233
ws_total_spike_flags_shock_ratio_lagbest_h2,0.04413300019289293
ws_covid_growth_1w,0.02500042897873639
ws_total_spike_flags_shock_ratio_lagbest_h3,0.01771044683469713
