horizon_weeks,model_name,rmse,mae,mape_pct,rmse_improvement_vs_naive_pct
1,naive_last_week,563.1089175827573,423.2040816326531,16.16614302137671,0.0
2,hybrid_catboost_log,826.940583657501,669.1696962145598,31.210575934585595,15.989171550987177
3,hybrid_catboost_log,1043.1468754517243,804.1648571352796,36.60123485971034,22.07918503390148
