feature,shap_value_log,abs_shap_value_log,feature_value,expected_value_log,prediction_log,prediction_cases
cases_roll_mean_2,-0.167987009726249,0.167987009726249,794.5,8.448661798214983,7.007330671999484,1103.7017543989432
time_idx,-0.15224007575099702,0.15224007575099702,260.0,8.448661798214983,7.007330671999484,1103.7017543989432
cases,-0.13235148594576068,0.13235148594576068,725.0,8.448661798214983,7.007330671999484,1103.7017543989432
cases_log1p,-0.11334157402239196,0.11334157402239196,6.587550014824796,8.448661798214983,7.007330671999484,1103.7017543989432
active_delta,-0.09321507240650927,0.09321507240650927,-95.0,8.448661798214983,7.007330671999484,1103.7017543989432
cases_lag_1,-0.06958119640062588,0.06958119640062588,864.0,8.448661798214983,7.007330671999484,1103.7017543989432
cases_log1p_lag_1,-0.05969193919198637,0.05969193919198637,6.762729506931879,8.448661798214983,7.007330671999484,1103.7017543989432
recovered,-0.047797816587620875,0.047797816587620875,816.0,8.448661798214983,7.007330671999484,1103.7017543989432
cases_log1p_lag_2,-0.04419877859269398,0.04419877859269398,6.806829360392176,8.448661798214983,7.007330671999484,1103.7017543989432
deaths_lag_1,-0.04210059221375064,0.04210059221375064,5.0,8.448661798214983,7.007330671999484,1103.7017543989432
deaths,-0.041977383762711866,0.041977383762711866,4.0,8.448661798214983,7.007330671999484,1103.7017543989432
cases_ratio_4w,-0.03825401981958436,0.03825401981958436,0.77209797657082,8.448661798214983,7.007330671999484,1103.7017543989432
recovered_lag_1,-0.03644085113736954,0.03644085113736954,885.0,8.448661798214983,7.007330671999484,1103.7017543989432
year,-0.02955877693048454,0.02955877693048454,2025.0,8.448661798214983,7.007330671999484,1103.7017543989432
active_now,-0.028725941989891604,0.028725941989891604,136306.0,8.448661798214983,7.007330671999484,1103.7017543989432
cases_growth_1w,-0.026465850838689672,0.026465850838689672,-0.1608796296296296,8.448661798214983,7.007330671999484,1103.7017543989432
ws_group_general_symptoms,0.023004105673150067,0.023004105673150067,67901.0,8.448661798214983,7.007330671999484,1103.7017543989432
active_delta_lag_1,-0.021183172340981625,0.021183172340981625,-26.0,8.448661798214983,7.007330671999484,1103.7017543989432
weekofyear,-0.019942534743464847,0.019942534743464847,12.0,8.448661798214983,7.007330671999484,1103.7017543989432
cases_ratio_2w,-0.01893787830391301,0.01893787830391301,0.8028792912513842,8.448661798214983,7.007330671999484,1103.7017543989432
cases_ratio_1w,-0.01777743012778203,0.01777743012778203,0.8391203703703703,8.448661798214983,7.007330671999484,1103.7017543989432
weekofyear_sin,-0.017479170787979205,0.017479170787979205,0.992708874098054,8.448661798214983,7.007330671999484,1103.7017543989432
active_now_lag_1,-0.01616785071235447,0.01616785071235447,136401.0,8.448661798214983,7.007330671999484,1103.7017543989432
cases_growth_2w,-0.015918006602138147,0.015918006602138147,-0.1971207087486157,8.448661798214983,7.007330671999484,1103.7017543989432
cases_lag_2,-0.015829696124804837,0.015829696124804837,903.0,8.448661798214983,7.007330671999484,1103.7017543989432
month_sin,-0.01418020420926023,0.01418020420926023,1.0,8.448661798214983,7.007330671999484,1103.7017543989432
cases_growth_4w,-0.012942384950023603,0.012942384950023603,-0.2279020234291799,8.448661798214983,7.007330671999484,1103.7017543989432
cases_roll_mean_4,-0.01114620632199138,0.01114620632199138,872.0,8.448661798214983,7.007330671999484,1103.7017543989432
ws_group_testing,-0.010600465832457787,0.010600465832457787,7151.0,8.448661798214983,7.007330671999484,1103.7017543989432
humidity_mean_lag_1,0.009734965733936889,0.009734965733936889,66.857,8.448661798214983,7.007330671999484,1103.7017543989432
humidity_mean,-0.009141957085153056,0.009141957085153056,56.054,8.448661798214983,7.007330671999484,1103.7017543989432
cases_roll_std_4,-0.008573811047040645,0.008573811047040645,112.56109452084478,8.448661798214983,7.007330671999484,1103.7017543989432
ws_total_raw,0.008573183893493635,0.008573183893493635,269605.0,8.448661798214983,7.007330671999484,1103.7017543989432
temp_mean_roll_mean_4,-0.0085307321354267,0.0085307321354267,1.96825,8.448661798214983,7.007330671999484,1103.7017543989432
temp_mean_roll_mean_8,-0.008338118240176336,0.008338118240176336,-0.5268750000000004,8.448661798214983,7.007330671999484,1103.7017543989432
cases_lag_12,-0.008217772984247501,0.008217772984247501,3958.0,8.448661798214983,7.007330671999484,1103.7017543989432
ws_share_потеря_вкуса_lagbest,-0.008145205175085617,0.008145205175085617,2.6e-05,8.448661798214983,7.007330671999484,1103.7017543989432
precip_sum_roll_mean_4,-0.007900174014196813,0.007900174014196813,13.24999999999998,8.448661798214983,7.007330671999484,1103.7017543989432
ws_share_кт_легких_lagbest,-0.007691183754838117,0.007691183754838117,0.00121,8.448661798214983,7.007330671999484,1103.7017543989432
ws_share_одышка_lagbest,-0.007594246754572096,0.007594246754572096,0.00134,8.448661798214983,7.007330671999484,1103.7017543989432
quarter,-0.0075833777757087825,0.0075833777757087825,1.0,8.448661798214983,7.007330671999484,1103.7017543989432
cases_peak_distance_4w,-0.0074863007939201375,0.0074863007939201375,-0.2720883534136546,8.448661798214983,7.007330671999484,1103.7017543989432
