feature,importance
cases_log1p,15.10624571662876
cases,12.364703417623138
active_delta,9.04744784020476
cases_roll_mean_2,8.306957084225063
cases_growth_4w,3.428563493231239
recovered,3.2681647898596924
cases_lag_1,2.5762273706114844
cases_ratio_4w,2.372006893909482
deaths_lag_1,2.1063447950178618
cases_growth_1w,2.067799839893529
cases_roll_std_4,2.0017797628026495
active_now,1.9422283291391602
active_delta_lag_1,1.8952184926779416
time_idx,1.5031476423285184
weekofyear,1.470631572454678
cases_roll_mean_4,1.3617480662704986
year,1.3548805257657257
deaths,1.339973436147599
cases_ratio_2w,1.3362816156025255
cases_ratio_1w,1.148581626942711
cases_log1p_lag_2,1.009358577220756
cases_peak_distance_4w,0.9952110293235397
ws_боль_в_горле_denoised_lagbest,0.9535023592667612
ws_пневмония_denoised_lagbest,0.9185114022819888
ws_total_denoised_roll_mean_8,0.9183376891656897
cases_log1p_lag_1,0.877629289185738
ws_total_spike_ratio,0.8462046187885066
ws_total_denoised,0.7847886181069185
ws_group_general_symptoms,0.6925317737366826
ws_share_пневмония_lagbest,0.68951929305722
temp_mean_roll_mean_8,0.6856019943795489
cases_lag_12,0.6321932868599804
ws_share_боль_в_горле_lagbest,0.5992871566744816
cases_growth_2w,0.5850289342894641
cases_log1p_lag_3,0.5671361179570477
month_sin,0.5641710485803186
ws_share_одышка_lagbest,0.5396459329270308
recovered_lag_1,0.511833506559551
month_cos,0.48624250560977217
ws_кт_легких_denoised_lagbest,0.448484260339324
ws_group_complications_treatment,0.437415601712515
ws_share_сатурация_lagbest,0.4186161587704676
temp_mean_lag_1,0.4153803305945699
ws_нет_запахов_denoised_lagbest,0.4008112763154937
temp_mean_roll_mean_4,0.395017435388811
ws_потеря_вкуса_denoised_lagbest,0.3885468765600847
active_now_lag_1,0.37926011081332983
ws_share_ломота_lagbest,0.36015191144189757
ws_share_кт_легких_lagbest,0.3444115819954408
ws_group_total,0.3410172634276567
cases_lag_2,0.32821796843463213
ws_group_disease,0.32465238073737357
temp_range,0.3154764742475227
weekofyear_sin,0.3143993123332383
ws_total_denoised_roll_mean_4,0.3129879554085578
ws_total_raw,0.287177587188007
ws_share_потеря_вкуса_lagbest,0.2737736861345206
quarter,0.27126292713835715
ws_share_нет_запахов_lagbest,0.2683129076043984
precip_sum_lag_1,0.249854283664681
cases_lag_3,0.24450867367264728
month,0.17360877221314305
cases_roll_std_8,0.1712076729131502
ws_group_testing,0.16371326014547008
humidity_mean,0.1634976584421754
ws_одышка_denoised_lagbest,0.1594435733808386
cases_acceleration_1w,0.1530461890441115
is_may_holiday_period,0.15290015708178045
temp_max,0.14307879182245128
cases_roll_mean_8,0.14063315191078368
pressure_mean,0.1391061581029189
wind_speed_mean,0.13718632468897846
ws_group_specific_symptoms,0.13641471923328002
ws_сатурация_denoised_lagbest,0.1222449561219598
precip_sum_roll_mean_4,0.11551421865068945
cases_lag_4,0.11285500769417178
weekofyear_cos,0.10177527639044934
ws_ломота_denoised_lagbest,0.07488136753379916
precip_sum,0.06995267304334107
temp_min,0.03941591792803565
cases_lag_8,0.034980871206691216
mask_mandate,0.025627188680000006
humidity_mean_lag_1,0.024197135815446268
is_school_start_week,0.020855277494700418
nonworking_days_total,0.01919412968065973
is_holiday_week,0.01393423897949306
school_break_days,0.007705603794327805
ws_total_spike_flags,0.005313364816954257
restriction_level,0.0023119339586998924
is_school_break_week,0.0
weekend_days,0.0
holiday_days,0.0
is_new_year_period,0.0
temp_mean,0.0
short_work_days,0.0
remote_work,0.0
