horizon_weeks,feature,best_lag_weeks,best_corr_abs
1,ws_чем_лечить_ковид_roll_mean_4,8,0.27931228775736977
1,ws_температура_39,5,0.2766982274158192
1,ws_температура_39_lag_1,4,0.2766982274158192
1,ws_температура_39_lag_2,3,0.2766982274158192
1,ws_group_general_symptoms_zscore_8,1,0.2766200165431648
1,ws_ломота_zscore_8,2,0.2738161188241006
1,ws_share_чем_лечить_ковид,8,0.2735483928665073
1,ws_симптомы_ковида_lag_2,8,0.2732605738971301
1,ws_чем_лечить_ковид_lag_2,8,0.27230551114933643
1,ws_чем_лечить_ковид_lag_1,8,0.2712203822596292
1,ws_симптомы_ковида_lag_1,8,0.2708405552156468
1,ws_температура_39_zscore_8,2,0.2707168744296162
1,ws_тест_на_ковид_shock_ratio,2,0.26912964403833134
1,ws_чем_лечить_ковид,8,0.2658342936202927
1,ws_share_симптомы_ковида,8,0.26305267421363737
1,ws_симптомы_ковида,8,0.26178029981214457
1,ws_симптомы_ковида_shock_ratio,3,0.25791278818668917
1,ws_потеря_вкуса_zscore_8,1,0.2497228497418025
1,ws_covid_zscore_8,1,0.23137713648506586
1,ws_covid_roll_mean_8,3,0.22755359790302862
1,ws_share_covid,8,0.22659588231409644
1,ws_covid_roll_mean_4,5,0.2256651480974284
1,ws_total_denoised_roll_mean_8_roll_mean_8,1,0.22109003138434227
1,ws_total_denoised_roll_mean_4_roll_mean_8,3,0.2201386944496185
1,ws_total_denoised_roll_mean_8_roll_mean_4,3,0.2201386944496185
1,ws_total_denoised_roll_mean_4_roll_mean_4,6,0.2201157034035736
1,ws_group_total_roll_mean_8,6,0.21995935604662095
1,ws_total_denoised_roll_mean_8,6,0.21995935604662095
1,ws_total_denoised_roll_mean_8_lag_1,5,0.21995935604662095
1,ws_total_denoised_roll_mean_8_lag_2,4,0.21995935604662095
1,ws_total_raw_roll_mean_8,6,0.21995935604662095
1,ws_group_total_roll_mean_4,7,0.21991872463973444
1,ws_total_denoised_roll_mean_4,7,0.21991872463973436
1,ws_total_denoised_roll_mean_4_lag_1,6,0.21991872463973436
1,ws_total_denoised_roll_mean_4_lag_2,5,0.21991872463973436
1,ws_total_raw_roll_mean_4,7,0.21991872463973436
1,ws_ковид_roll_mean_8,7,0.2191267776493213
1,ws_нет_запахов_zscore_8,1,0.2167925024964568
1,ws_total_denoised,8,0.21665306704977272
1,ws_total_denoised_lag_1,7,0.21665306704977272
1,ws_total_denoised_lag_2,6,0.21665306704977272
1,ws_total_raw,8,0.21665306704977272
1,ws_total_raw_lag_1,7,0.21665306704977272
1,ws_total_raw_lag_2,6,0.21665306704977272
1,ws_group_total,8,0.21665306704977255
1,ws_group_total_lag_1,7,0.21665306704977255
1,ws_group_total_lag_2,6,0.21665306704977255
1,ws_covid,7,0.21646489395486282
1,ws_covid_lag_1,6,0.21646489395486282
1,ws_covid_lag_2,5,0.21646489395486282
1,ws_ковид_roll_mean_4,8,0.21616983174596344
1,ws_share_ковид,8,0.21493220165854263
1,ws_ковид_lag_1,8,0.21156812097344893
1,ws_ковид_lag_2,7,0.21156812097344893
1,ws_сухой_кашель_zscore_8,1,0.2113773070843256
1,ws_ковид,8,0.20812567160568202
1,ws_group_complications_treatment_zscore_8,1,0.20629717630596806
1,ws_положительный_тест_ковид_roll_mean_8,8,0.20376369686456317
1,ws_тест_на_ковид_roll_mean_8,8,0.19038830468400486
1,ws_group_testing_shock_ratio,2,0.18467627508533163
1,ws_положительный_тест_ковид_lag_2,8,0.18448322454596439
1,ws_положительный_тест_ковид_roll_mean_4,8,0.1840379856647168
1,ws_ковид_shock_ratio,3,0.18354526096542925
1,ws_total_spike_ratio_zscore_8,4,0.1827441496780533
1,ws_тест_на_ковид_roll_mean_4,8,0.18244821332160613
1,ws_экспресс_тест_ковид_diff_2w,3,0.18102050683519208
1,ws_total_spike_flags_roll_mean_8,8,0.18047355748314878
1,ws_тест_на_ковид_lag_2,8,0.18002768364079152
1,ws_положительный_тест_ковид_diff_2w,4,0.17960343734387346
1,ws_тест_на_ковид_lag_1,8,0.17736846999661543
1,ws_положительный_тест_ковид_lag_1,8,0.17511560828597392
1,ws_тест_на_ковид_diff_2w,3,0.1733591772913661
1,ws_экспресс_тест_ковид_roll_mean_8,8,0.17327208798775756
1,ws_share_тест_на_ковид,8,0.1718587048151059
1,ws_тест_на_ковид,8,0.17003658096223231
1,ws_пневмония_zscore_8,1,0.1673739491566355
1,ws_экспресс_тест_ковид_roll_mean_4,8,0.16684522054445391
1,ws_одышка_zscore_8,6,0.16680549206221176
1,ws_чем_лечить_ковид_diff_2w,3,0.1666451663566272
1,ws_экспресс_тест_ковид_lag_2,8,0.16516992303788225
1,ws_экспресс_тест_ковид_lag_1,8,0.1619706866806462
1,ws_положительный_тест_ковид,8,0.1595775478707129
1,ws_share_положительный_тест_ковид,8,0.15853419920416734
1,ws_total_spike_ratio_roll_mean_4,1,0.15766007595373827
1,ws_пропало_обоняние_shock_ratio,3,0.156580330359984
1,ws_экспресс_тест_ковид_diff_1w,4,0.15559649435682238
1,ws_group_disease_roll_mean_4,7,0.15319699740692952
