model_name,target_col,horizon_weeks,n_predictions,rmse,mae,mape_pct,smape_pct,wape_pct,directional_accuracy_pct,mean_true,mean_pred,rmse_improvement_vs_naive_pct,mae_improvement_vs_naive_pct,mape_improvement_vs_naive_pct
naive_last_week,target_t_plus_1,1,49,563.1089175827573,423.2040816326531,16.16614302137671,14.97884591784889,14.654916538282144,0.0,2887.795918367347,2935.6938775510203,0.0,0.0,0.0
baseline_epi_catboost_log,target_t_plus_1,1,49,564.1566435203533,449.5500431453736,20.22175512850702,18.211155689507418,15.567237292846253,57.14285714285714,2887.795918367347,3024.5802996644425,-0.18606097415285147,-6.225356194836792,-25.087073037566977
hybrid_catboost_log,target_t_plus_1,1,49,677.0679164915965,525.670651274832,23.91390772535578,21.170544393094893,18.203178691797124,48.97959183673469,2887.795918367347,2959.234443595468,-20.237470114667698,-24.21209390204354,-47.92587009612682
baseline_digital_catboost_log,target_t_plus_1,1,49,1125.781400410469,946.7441144665227,47.88148246473864,36.840000080813844,32.784315139616126,34.69387755102041,2887.795918367347,3137.0487871052774,-99.92249549928651,-123.7086444946695,-196.1837118564664
seasonal_naive_52,target_t_plus_1,1,49,4472.5919139321695,3394.469387755102,176.26193008300248,84.6426072190529,117.54533504826787,30.612244897959183,2887.795918367347,4893.367346938776,-694.2676406425148,-702.0880551670926,-990.3152956764576
hybrid_catboost_log,target_t_plus_2,2,49,826.940583657501,669.1696962145598,31.210575934585595,26.745380171203475,23.172333334167313,63.26530612244898,2887.795918367347,2972.2562110864988,15.989171550987177,10.572969196221486,-6.104547631783737
baseline_epi_catboost_log,target_t_plus_2,2,49,852.4669338966324,658.7874735612677,28.99550932740172,25.065106975011908,22.812812684274512,67.3469387755102,2887.795918367347,3135.605152019462,13.395889913527611,11.960436904756138,1.4258690071822597
naive_last_week,target_t_plus_2,2,49,984.3261861884639,748.2857142857143,29.414927664454254,25.756120542769562,25.912001243798677,0.0,2887.795918367347,2991.5102040816328,0.0,0.0,0.0
baseline_digital_catboost_log,target_t_plus_2,2,49,1091.9526397415411,863.3596185793571,45.23918927836239,33.96386149344676,29.896836306475173,59.183673469387756,2887.795918367347,3117.129040230471,-10.934023199142091,-15.378337725381808,-53.79670415790475
seasonal_naive_52,target_t_plus_2,2,49,4746.356151226509,3602.469387755102,193.51258567973102,88.60758677316781,124.74806009809049,30.612244897959183,2887.795918367347,4967.65306122449,-382.19342508863707,-381.4296623574974,-557.8720433624472
hybrid_catboost_log,target_t_plus_3,3,49,1043.1468754517243,804.1648571352796,36.60123485971034,30.645826920259296,27.847011349400503,65.3061224489796,2887.795918367347,2983.7219633985874,22.07918503390148,20.331423373172868,12.033318957487037
baseline_epi_catboost_log,target_t_plus_3,3,49,1045.1885312340362,825.3124155574934,37.12023239529866,30.533691520142053,28.579319276276788,65.3061224489796,2887.795918367347,3279.8347432223204,21.926677763658166,18.236335700935754,10.785970586593594
baseline_digital_catboost_log,target_t_plus_3,3,49,1114.401348185602,870.0357799903035,41.772325701886935,32.990682666845245,30.128021667202493,61.224489795918366,2887.795918367347,3014.8972456755737,16.756630064833423,13.805593975889874,-0.3947780862094918
naive_last_week,target_t_plus_3,3,49,1338.726854827651,1009.3877551020408,41.60806617453433,34.27847518823764,34.95356956085426,0.0,2887.795918367347,3058.408163265306,0.0,0.0,0.0
seasonal_naive_52,target_t_plus_3,3,49,5078.5916716494285,3846.5510204081634,212.38868139602562,92.620588709517,133.20023745247417,26.53061224489796,2887.795918367347,5052.0204081632655,-279.3598114010532,-281.0776384957541,-410.4507392992355
