feature,shap_value_log,abs_shap_value_log,feature_value,expected_value_log,prediction_log,prediction_cases
cases_roll_mean_2,-0.21789585445099244,0.21789585445099244,794.5,8.465437761522493,6.813027419064404,908.6204449706653
cases_log1p,-0.21201710339738022,0.21201710339738022,6.587550014824796,8.465437761522493,6.813027419064404,908.6204449706653
cases,-0.19057586736617382,0.19057586736617382,725.0,8.465437761522493,6.813027419064404,908.6204449706653
time_idx,-0.09951118989085227,0.09951118989085227,260.0,8.465437761522493,6.813027419064404,908.6204449706653
active_now,-0.07888616699800453,0.07888616699800453,136306.0,8.465437761522493,6.813027419064404,908.6204449706653
recovered,-0.07336997141565549,0.07336997141565549,816.0,8.465437761522493,6.813027419064404,908.6204449706653
active_delta,-0.07250322083007361,0.07250322083007361,-95.0,8.465437761522493,6.813027419064404,908.6204449706653
cases_log1p_lag_1,-0.053155778609019606,0.053155778609019606,6.762729506931879,8.465437761522493,6.813027419064404,908.6204449706653
recovered_lag_1,-0.04088433810093153,0.04088433810093153,885.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_share_одышка_lagbest,-0.03996310019485593,0.03996310019485593,0.00134,8.465437761522493,6.813027419064404,908.6204449706653
cases_log1p_lag_2,-0.03932086722814472,0.03932086722814472,6.806829360392176,8.465437761522493,6.813027419064404,908.6204449706653
cases_lag_1,-0.038097924935751384,0.038097924935751384,864.0,8.465437761522493,6.813027419064404,908.6204449706653
year,-0.03621687859838982,0.03621687859838982,2025.0,8.465437761522493,6.813027419064404,908.6204449706653
cases_roll_mean_4,-0.029884062697980555,0.029884062697980555,872.0,8.465437761522493,6.813027419064404,908.6204449706653
deaths_lag_1,-0.02862217205158521,0.02862217205158521,5.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_group_general_symptoms,0.028620897415644015,0.028620897415644015,67901.0,8.465437761522493,6.813027419064404,908.6204449706653
cases_roll_std_4,-0.027129570344760538,0.027129570344760538,112.56109452084478,8.465437761522493,6.813027419064404,908.6204449706653
cases_growth_1w,-0.02543097335613679,0.02543097335613679,-0.1608796296296296,8.465437761522493,6.813027419064404,908.6204449706653
cases_ratio_4w,-0.024395702987757107,0.024395702987757107,0.77209797657082,8.465437761522493,6.813027419064404,908.6204449706653
cases_log1p_lag_3,-0.02320556214078234,0.02320556214078234,6.904750769961838,8.465437761522493,6.813027419064404,908.6204449706653
cases_lag_2,-0.021862408661290737,0.021862408661290737,903.0,8.465437761522493,6.813027419064404,908.6204449706653
cases_growth_4w,-0.02169048495504814,0.02169048495504814,-0.2279020234291799,8.465437761522493,6.813027419064404,908.6204449706653
active_now_lag_1,-0.021319314994597903,0.021319314994597903,136401.0,8.465437761522493,6.813027419064404,908.6204449706653
cases_ratio_1w,-0.01874587713858663,0.01874587713858663,0.8391203703703703,8.465437761522493,6.813027419064404,908.6204449706653
cases_lag_3,-0.017914843886679112,0.017914843886679112,996.0,8.465437761522493,6.813027419064404,908.6204449706653
weekofyear,-0.01716367847997891,0.01716367847997891,12.0,8.465437761522493,6.813027419064404,908.6204449706653
cases_ratio_2w,-0.016501847729311275,0.016501847729311275,0.8028792912513842,8.465437761522493,6.813027419064404,908.6204449706653
ws_кт_легких_denoised_lagbest,-0.01615816190466882,0.01615816190466882,6978.0,8.465437761522493,6.813027419064404,908.6204449706653
deaths,-0.015240744617458564,0.015240744617458564,4.0,8.465437761522493,6.813027419064404,908.6204449706653
temp_mean_roll_mean_8,-0.014917355750589537,0.014917355750589537,-0.5268750000000004,8.465437761522493,6.813027419064404,908.6204449706653
ws_total_denoised_roll_mean_8,-0.014400078426955292,0.014400078426955292,230283.5,8.465437761522493,6.813027419064404,908.6204449706653
active_delta_lag_1,-0.013836772084205997,0.013836772084205997,-26.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_боль_в_горле_denoised_lagbest,0.013328285967707935,0.013328285967707935,19004.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_потеря_вкуса_denoised_lagbest,-0.012559151592847059,0.012559151592847059,153.0,8.465437761522493,6.813027419064404,908.6204449706653
month_sin,-0.012558702525628438,0.012558702525628438,1.0,8.465437761522493,6.813027419064404,908.6204449706653
cases_roll_mean_8,-0.011757049658015904,0.011757049658015904,989.5,8.465437761522493,6.813027419064404,908.6204449706653
ws_одышка_denoised_lagbest,-0.011571602504642906,0.011571602504642906,7301.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_total_spike_ratio,0.011184146422783921,0.011184146422783921,1.1707525723727492,8.465437761522493,6.813027419064404,908.6204449706653
ws_group_total,-0.009663913311740071,0.009663913311740071,213127.0,8.465437761522493,6.813027419064404,908.6204449706653
cases_lag_12,-0.008882213801396066,0.008882213801396066,3958.0,8.465437761522493,6.813027419064404,908.6204449706653
humidity_mean,-0.006664842254944197,0.006664842254944197,56.054,8.465437761522493,6.813027419064404,908.6204449706653
ws_group_disease,-0.006633977051496843,0.006633977051496843,54794.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_share_нет_запахов_lagbest,-0.006243474756887191,0.006243474756887191,0.0002,8.465437761522493,6.813027419064404,908.6204449706653
quarter,-0.005877718561812284,0.005877718561812284,1.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_share_кт_легких_lagbest,-0.005705861021708,0.005705861021708,0.00121,8.465437761522493,6.813027419064404,908.6204449706653
cases_growth_2w,-0.005651480677462415,0.005651480677462415,-0.1971207087486157,8.465437761522493,6.813027419064404,908.6204449706653
ws_пневмония_denoised_lagbest,-0.005641883715871223,0.005641883715871223,59573.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_total_raw,0.005573869835500551,0.005573869835500551,269605.0,8.465437761522493,6.813027419064404,908.6204449706653
temp_range,-0.005520612789163448,0.005520612789163448,17.1,8.465437761522493,6.813027419064404,908.6204449706653
weekofyear_sin,-0.005328385395425036,0.005328385395425036,0.992708874098054,8.465437761522493,6.813027419064404,908.6204449706653
ws_share_боль_в_горле_lagbest,0.00524334855319116,0.00524334855319116,0.0033,8.465437761522493,6.813027419064404,908.6204449706653
ws_total_denoised_roll_mean_4,-0.004937181022144263,0.004937181022144263,246952.0,8.465437761522493,6.813027419064404,908.6204449706653
cases_lag_4,-0.004802991156548263,0.004802991156548263,939.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_share_потеря_вкуса_lagbest,-0.004058559166974349,0.004058559166974349,2.6e-05,8.465437761522493,6.813027419064404,908.6204449706653
ws_нет_запахов_denoised_lagbest,-0.003826620038023332,0.003826620038023332,1188.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_group_testing,-0.0036240233014845622,0.0036240233014845622,7151.0,8.465437761522493,6.813027419064404,908.6204449706653
cases_peak_distance_4w,-0.0034885600850055342,0.0034885600850055342,-0.2720883534136546,8.465437761522493,6.813027419064404,908.6204449706653
ws_total_denoised,-0.003408777015676959,0.003408777015676959,258056.0,8.465437761522493,6.813027419064404,908.6204449706653
temp_mean_roll_mean_4,-0.003236193121034764,0.003236193121034764,1.96825,8.465437761522493,6.813027419064404,908.6204449706653
ws_group_specific_symptoms,0.003141968460264176,0.003141968460264176,16584.0,8.465437761522493,6.813027419064404,908.6204449706653
cases_roll_std_8,-0.0030658218731658576,0.0030658218731658576,173.49598595615046,8.465437761522493,6.813027419064404,908.6204449706653
