horizon_weeks,model_name,predicted_cases,predicted_log,global_importance_path,local_shap_path,top_positive_features,top_negative_features
2,hybrid_catboost_log,908.62,6.813027,C:\Users\afadd\Desktop\vkr_epidemic_project\reports\tables\global_importance_h2_step8.csv,C:\Users\afadd\Desktop\vkr_epidemic_project\reports\tables\local_shap_h2_step8.csv,"ws_group_general_symptoms, ws_боль_в_горле_denoised_lagbest, ws_total_spike_ratio, ws_total_raw, ws_share_боль_в_горле_lagbest","cases_roll_mean_2, cases_log1p, cases, time_idx, active_now"
3,hybrid_catboost_log,1103.702,7.007331,C:\Users\afadd\Desktop\vkr_epidemic_project\reports\tables\global_importance_h3_step8.csv,C:\Users\afadd\Desktop\vkr_epidemic_project\reports\tables\local_shap_h3_step8.csv,"ws_group_general_symptoms, humidity_mean_lag_1, ws_total_raw, ws_total_spike_ratio, ws_total_denoised","cases_roll_mean_2, time_idx, cases, cases_log1p, active_delta"
