model_name,horizon_weeks,n_predictions,rmse,mae,mape_pct,smape_pct,wape_pct,mean_true,mean_pred,mean_n_selected_features,rmse_improvement_vs_naive_pct,mae_improvement_vs_naive_pct
advanced_ratio_catboost,1,49,399.31957627657965,280.9316609497714,11.526109854882053,10.949192410569475,9.728238036592275,2887.795918367347,2961.147809777577,42.0,29.08661827080839,33.61792261880311
advanced_logdelta_catboost,1,49,428.5320434072761,290.5140601110831,11.952254749267297,11.190449964692633,10.060062010037365,2887.795918367347,2992.625133186081,42.0,23.898906583325967,31.35367244325085
naive_last_week,1,49,563.1089175827573,423.2040816326531,16.16614302137671,14.97884591784889,14.654916538282144,2887.795918367347,2935.6938775510203,0.0,0.0,0.0
advanced_level_catboost,1,49,636.8587177159059,476.84181799380144,20.231488882718054,19.63581591786241,16.512310131090917,2887.795918367347,2857.9068520510145,38.0,-13.096897923359554,-12.674201098019338
advanced_level_catboost,2,49,893.4941464815719,680.3992791736343,27.717727004962473,26.260265328305664,23.56119678839033,2887.795918367347,2789.3581217802052,38.0,9.22783940744424,9.072261278819395
advanced_logdelta_catboost,2,49,914.9316109021705,579.5013349778993,21.195078642893407,18.77956022437749,20.06725375889886,2887.795918367347,3125.6787186012275,42.0,7.04995724588056,22.556140800968024
naive_last_week,2,49,984.3261861884639,748.2857142857143,29.414927664454254,25.756120542769562,25.912001243798677,2887.795918367347,2991.5102040816328,0.0,0.0,0.0
advanced_ratio_catboost,2,49,986.5285832044369,641.3789074412529,21.88989409206649,18.80404136833252,22.209980399302758,2887.795918367347,3201.0648121735476,42.0,-0.22374666516809888,14.286896676426695
advanced_ratio_catboost,3,49,999.342027410778,602.5003513812372,24.26327342488538,19.928023195572546,20.863674872214265,2887.795918367347,3256.3152201353914,42.0,25.351312419930938,40.310316988110344
advanced_logdelta_catboost,3,49,1001.6763291130821,645.3252008978288,26.286451663146483,22.1537577513083,22.34663456629137,2887.795918367347,3235.0853048817858,42.0,25.17694513254245,36.067661051367544
advanced_level_catboost,3,49,1047.9624087223833,819.6237649868358,36.27185152234995,32.17675138519448,28.382329920675996,2887.795918367347,2765.264756546263,38.0,21.71947511598257,18.799910059937417
naive_last_week,3,49,1338.726854827651,1009.3877551020408,41.60806617453433,34.27847518823764,34.95356956085426,2887.795918367347,3058.408163265306,0.0,0.0,0.0
