week_start,target_week_start,horizon_weeks,y_true,naive_pred,hybrid_pred,advanced_pred,advanced_model_name
2024-08-12,2024-08-26,2,4828.0,3227.0,3561.033364473259,3661.853191493138,advanced_level_catboost
2024-08-19,2024-09-02,2,5050.0,3940.0,4006.582371090985,4294.538040999076,advanced_level_catboost
2024-08-26,2024-09-09,2,5769.0,4828.0,4811.976331864767,6387.956630401098,advanced_level_catboost
2024-09-02,2024-09-16,2,7196.0,5050.0,4871.554131344957,4504.696765529359,advanced_level_catboost
2024-09-09,2024-09-23,2,6736.0,5769.0,5997.688279033911,4717.631652738467,advanced_level_catboost
2024-09-16,2024-09-30,2,5992.0,7196.0,6167.604939365925,5108.451240239784,advanced_level_catboost
2024-09-23,2024-10-07,2,5079.0,6736.0,4529.84234200676,4257.109589792992,advanced_level_catboost
2024-09-30,2024-10-14,2,4131.0,5992.0,4522.738078456823,3774.865973421015,advanced_level_catboost
2024-10-07,2024-10-21,2,3788.0,5079.0,4558.681045497951,4028.624021277197,advanced_level_catboost
2024-10-14,2024-10-28,2,4249.0,4131.0,3703.5317499484536,3646.6251352844906,advanced_level_catboost
2024-10-21,2024-11-04,2,4088.0,3788.0,4146.425317986385,3586.1031945531045,advanced_level_catboost
2024-10-28,2024-11-11,2,3805.0,4249.0,4964.914404952479,4655.151168276602,advanced_level_catboost
2024-11-04,2024-11-18,2,4316.0,4088.0,4806.07782034223,4289.070252372573,advanced_level_catboost
2024-11-11,2024-11-25,2,4959.0,3805.0,4172.204263256108,4125.178440428951,advanced_level_catboost
2024-11-18,2024-12-02,2,4809.0,4316.0,5106.285870860223,5060.326629675959,advanced_level_catboost
2024-11-25,2024-12-09,2,5208.0,4959.0,5953.275702947657,6826.14404118255,advanced_level_catboost
2024-12-02,2024-12-16,2,4930.0,4809.0,5771.583181726226,5137.153346947208,advanced_level_catboost
2024-12-09,2024-12-23,2,3958.0,5208.0,5126.652757196906,5512.788796813156,advanced_level_catboost
2024-12-16,2024-12-30,2,2994.0,4930.0,4271.96365562486,4491.927677328964,advanced_level_catboost
2024-12-23,2025-01-06,2,1362.0,3958.0,3699.067981398493,3289.240363794727,advanced_level_catboost
2024-12-30,2025-01-13,2,1494.0,2994.0,2712.7136608576084,2363.3416260386944,advanced_level_catboost
2025-01-06,2025-01-20,2,1280.0,1362.0,2188.7949308124107,2075.684261626148,advanced_level_catboost
2025-01-13,2025-01-27,2,1241.0,1494.0,2061.445222873665,1715.393765540913,advanced_level_catboost
2025-01-20,2025-02-03,2,1212.0,1280.0,2041.3054180395525,1661.9003161905998,advanced_level_catboost
2025-01-27,2025-02-10,2,1036.0,1241.0,2161.5052214254915,1481.937301677311,advanced_level_catboost
2025-02-03,2025-02-17,2,939.0,1212.0,1732.0586907827303,1329.5686041446108,advanced_level_catboost
