feature_name,feature_value,shap_value
cases_growth_1w,-0.1608796296296296,-0.042967843837044835
cases_growth_2w,-0.1971207087486157,-0.02261744088724615
ws_экспресс_тест_ковид_growth_1w,-0.1085972850678732,-0.0092105021594239
ws_боль_в_горле_growth_1w,-0.0703564727954971,-0.006262906998372599
cases,725.0,-0.005369422074504472
ws_сатурация_growth_1w,-0.0798913658481385,-0.005228637443217735
weekofyear_sin,0.992708874098054,-0.002787896360638684
weekofyear_cos,0.120536680255323,-0.002070915702056595
active_now,136306.0,-0.0015989797506778028
ws_пропало_обоняние_diff_2w_lagbest_h3,169.0,-0.0007943195784534746
ws_total_spike_flags_zscore_8,-0.3535533905932737,-0.000333001557116383
ws_total_spike_ratio_zscore_8,1.1066152173843702,-0.0002219533770633791
ws_total_spike_flags_zscore_8_lagbest_h2,-0.3535533905932737,-0.00021578755331615635
ws_пропало_обоняние_growth_2w_lagbest_h3,0.1658488714425907,-0.0001795500281777341
ws_total_spike_flags_shock_ratio_lagbest_h2,0.0,-0.00014398087889249734
ws_total_spike_flags_shock_ratio,0.0,-9.331690847363382e-05
ws_total_spike_flags_shock_ratio_lagbest_h3,0.0,6.790433993650988e-05
ws_covid_growth_1w,0.2005736981465136,7.260199058936343e-05
ws_пропало_обоняние_growth_1w_lagbest_h1,-0.0157415078707539,0.00023868594638364838
ws_пропало_обоняние_growth_2w_lagbest_h2,0.1658488714425907,0.0003145674971639829
ws_пропало_обоняние_growth_1w_lagbest_h3,-0.0157415078707539,0.0004336927741149446
ws_пропало_обоняние_growth_1w_lagbest_h2,-0.0157415078707539,0.000529418620641461
ws_group_testing_growth_1w,0.073837066207236,0.0005894480460615502
ws_пропало_обоняние_growth_2w_lagbest_h1,0.1658488714425907,0.0006942290637732051
ws_total_spike_ratio_growth_2w,0.0178577678899589,0.0009844007168469465
ws_total_spike_ratio_growth_1w,0.0514066854436365,0.0011992017569627546
ws_total_spike_ratio_shock_ratio,1.019179212571462,0.0029197588913106743
ws_total_denoised_growth_1w,0.0935769768998315,0.003131721120487339
cases_roll_mean_2,794.5,0.003322554922933131
ws_group_disease_growth_1w,0.653907969672618,0.004679219445074556
ws_положительный_тест_ковид_growth_1w,0.1776315789473683,0.004698576897634245
ws_group_total_growth_1w,0.0935769768998315,0.0050145179429287685
ws_кт_легких_growth_1w,0.0664220647773279,0.005227470206687752
cases_lag_1,864.0,0.006486734627343243
ws_пропало_обоняние_diff_1w,57.0,0.007126006410275103
cases_roll_mean_4,872.0,0.008066446195069445
ws_total_raw_growth_1w,0.0935769768998315,0.008613170304494542
cases_log1p,6.587550014824796,0.008996404329102977
ws_тест_на_ковид_growth_1w,0.1188699360341152,0.009120134026094417
cases_lag_2,903.0,0.009374180568153596
cases_lag_3,996.0,0.011947909998223273
ws_ковид_growth_1w,0.0956703674956973,0.03669555833269623
