feature,importance
cases,18.60586811194203
cases_roll_mean_2,14.084066336956585
cases_log1p,11.097162107586328
recovered,6.674113605957026
cases_lag_1,5.5678276190308695
cases_log1p_lag_1,3.3074142463783716
cases_growth_2w,3.2821552647698957
active_delta,2.9282926381099483
active_delta_lag_1,2.732945419296975
cases_ratio_4w,2.6421736152823043
cases_growth_4w,2.6399543896229622
cases_roll_mean_8,2.5736351016829833
cases_roll_mean_4,2.2547859666151027
active_now,2.1893554302181903
cases_roll_std_4,2.121503367374453
cases_ratio_1w,1.402657310607967
cases_peak_distance_4w,1.401012872088933
time_idx,1.190057765404937
quarter,1.175684623691098
cases_lag_4,1.1494628632997408
cases_growth_1w,1.080623572471769
active_now_lag_1,1.0477636261188152
deaths,0.9808863104282891
cases_log1p_lag_3,0.9669589008481305
cases_lag_2,0.698652963826108
year,0.663703657861472
cases_lag_12,0.6463529768273055
weekofyear,0.617659083658913
deaths_lag_1,0.5603882221298402
cases_roll_std_8,0.5517105891983719
weekofyear_sin,0.4246269539546754
cases_ratio_2w,0.4008824864553631
recovered_lag_1,0.38701673813447446
cases_acceleration_1w,0.3750165376436398
cases_log1p_lag_2,0.3432627996985389
month_sin,0.3115287564784689
weekofyear_cos,0.29960701474821055
month,0.23170682192557088
cases_lag_3,0.19851885253311774
month_cos,0.09956983302933516
cases_lag_8,0.09343464611288262
